Pitta moluccensis
Pitta nympha
Pitta reichenowi
Pitta sordida
Pitta steerii
Pitta superba
Pitta versicolor
Pittasoma michleri
Pittasoma rufopileatum
Platyrinchus cancrominus
Platyrinchus coronatus
Platyrinchus flavigularis
Platyrinchus leucoryphus
Platyrinchus mystaceus
Platyrinchus platyrhynchos
Platyrinchus saturatus
Poecilotriccus albifacies
Poecilotriccus calopterus
Poecilotriccus capitalis
Poecilotriccus fumifrons
Poecilotriccus latirostris
Poecilotriccus luluae
Poecilotriccus plumbeiceps
Poecilotriccus pulchellus
Poecilotriccus ruficeps
Poecilotriccus russatus
Poecilotriccus senex
Poecilotriccus sylvia
Poliocrania exsul
Polioxolmis rufipennis
Polystictus pectoralis
Polystictus superciliaris
Pomatostomus temporalis
Porphyrolaema porphyrolaema
Premnoplex brunnescens
Premnoplex tatei
Premnornis guttuliger
Procnias albus
Procnias averano
Procnias nudicollis
Procnias tricarunculatus
Psarisomus dalhousiae
Pseudasthenes cactorum
Pseudasthenes humicola
Pseudasthenes patagonica
Pseudasthenes steinbachi
Pseudelaenia leucospodia
Pseudocalyptomena graueri
Pseudocolaptes boissonneautii
Pseudocolaptes lawrencii
Pseudocolopteryx acutipennis
Pseudocolopteryx citreola
Pseudocolopteryx dinelliana
Pseudocolopteryx flaviventris
Pseudocolopteryx sclateri
Pseudoseisura cristata
Pseudoseisura gutturalis
Pseudoseisura lophotes
Pseudoseisura unirufa
Pseudotriccus pelzelni
Pseudotriccus ruficeps
Pseudotriccus simplex
Psilorhamphus guttatus
Pteroptochos castaneus
Pteroptochos megapodius
Pteroptochos tarnii
Pygarrhichas albogularis
Pygiptila stellaris
Pyriglena atra
Pyriglena leuconota
Pyriglena leucoptera
Pyrocephalus rubinus
Pyroderus scutatus
Pyrrhomyias cinnamomeus
Querula purpurata
Ramphotrigon fuscicauda
Ramphotrigon megacephalum
Ramphotrigon ruficauda
Rhegmatorhina berlepschi
Rhegmatorhina cristata
Rhegmatorhina gymnops
Rhegmatorhina hoffmannsi
Rhegmatorhina melanosticta
Rhinocrypta lanceolata
Rhopias gularis
Rhopornis ardesiacus
Rhynchocyclus brevirostris
Rhynchocyclus fulvipectus
Rhynchocyclus olivaceus
Rhynchocyclus pacificus
Rhytipterna holerythra
Rhytipterna immunda
Rhytipterna simplex
Roraimia adusta
Rupicola peruvianus
Rupicola rupicola
Sakesphorus canadensis
Sakesphoroides cristatus
Sakesphorus luctuosus
Sapayoa aenigma
Satrapa icterophrys
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Scelorchilus albicollis
Scelorchilus rubecula
Schiffornis aenea
Schiffornis major
Schiffornis olivacea
Schiffornis stenorhyncha
Schiffornis turdina
Schiffornis veraepacis
Schiffornis virescens
Schoeniophylax phryganophilus
Sciaphylax castanea
Sciaphylax hemimelaena
Sclateria naevia
Sclerurus albigularis
Sclerurus caudacutus
Sclerurus guatemalensis
Sclerurus mexicanus
Sclerurus rufigularis
Sclerurus scansor
Scytalopus acutirostris
Scytalopus affinis
Scytalopus altirostris
Scytalopus argentifrons
Scytalopus atratus
Scytalopus bolivianus
Scytalopus canus
Scytalopus caracae
Scytalopus chocoensis
Scytalopus diamantinensis
Scytalopus femoralis
Scytalopus fuscus
Scytalopus gettyae
Scytalopus gonzagai
Scytalopus griseicollis
Scytalopus iraiensis
Scytalopus latebricola
Scytalopus latrans
Scytalopus macropus
Scytalopus magellanicus
Scytalopus meridanus
Scytalopus micropterus
Scytalopus novacapitalis
Scytalopus opacus
Scytalopus pachecoi
Scytalopus panamensis
Scytalopus parkeri
Scytalopus parvirostris
Scytalopus perijanus
Scytalopus petrophilus
Scytalopus robbinsi
Scytalopus rodriguezi
Scytalopus sanctaemartae
Scytalopus schulenbergi
Scytalopus simonsi
Scytalopus speluncae
Scytalopus spillmanni
Scytalopus stilesi
Scytalopus superciliaris
Scytalopus unicolor
Scytalopus urubambae
Scytalopus vicinior
Scytalopus zimmeri
Serilophus lunatus
Serpophaga cinerea
Serpophaga griseicapilla
Serpophaga hypoleuca
Serpophaga munda
Serpophaga nigricans
Serpophaga subcristata
Sipia berlepschi
Sipia laemosticta
Sipia nigricauda
Sipia palliata
Siptornis striaticollis
Sirystes sibilator
Sitta canadensis
Sittasomus griseicapillus
Smithornis capensis
Smithornis rufolateralis
Smithornis sharpei
Snowornis cryptolophus
Snowornis subalaris
